,content,sci,date
20,"['', '', '', '', '', '', '', '', 'NEGATIVE 455 (55.29%)NEGATIVE 455 (55.29%)POSITIVE 45 (5.47%)POSITIVE 45 (5.47%)PENDING 323 (39.25%)PENDING 323 (39.25%)', '', '', '', '', 'NEGATIVE 455 (55.29%)NEGATIVE 455 (55.29%)', 'NEGATIVE 455 (55.29%)', 'POSITIVE 45 (5.47%)POSITIVE 45 (5.47%)', 'POSITIVE 45 (5.47%)', 'PENDING 323 (39.25%)PENDING 323 (39.25%)', 'PENDING 323 (39.25%)']",QUEHANNA BOOTCAMP,12/6/2020
21,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 1,048 (97.58%)NEGATIVE 1,048 (97.58%)POSITIVE 13 (1.21%)POSITIVE 13 (1.21%)13 (1.21%)RECOVERED', '', '', '', '', 'NEGATIVE 1,048 (97.58%)NEGATIVE 1,048 (97.58%)', 'NEGATIVE 1,048 (97.58%)', 'POSITIVE 13 (1.21%)POSITIVE 13 (1.21%)', 'POSITIVE 13 (1.21%)', '13 (1.21%)', '', 'RECOVERED', '']",RETREAT,12/6/2020
22,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 763 (80.83%)NEGATIVE 763 (80.83%)79 (8.37%)POSITIVE 79 (8.37%)PENDING 97 (10.28%)PENDING 97 (10.28%)4 (0.42%)RECOVERED 4 (0.42%)POSITIVEPOSITIVE 79 (8.37%)RECOVEREDRECOVERED 4 (0.42%)1 (0.11%)DEATH', '', '', '', '', '', '', 'NEGATIVE 763 (80.83%)NEGATIVE 763 (80.83%)', 'NEGATIVE 763 (80.83%)', '79 (8.37%)POSITIVE 79 (8.37%)', 'POSITIVE 79 (8.37%)', 'PENDING 97 (10.28%)PENDING 97 (10.28%)', 'PENDING 97 (10.28%)', '4 (0.42%)RECOVERED 4 (0.42%)', 'RECOVERED 4 (0.42%)', 'POSITIVEPOSITIVE 79 (8.37%)', 'POSITIVE 79 (8.37%)', 'RECOVEREDRECOVERED 4 (0.42%)', 'RECOVERED 4 (0.42%)', '1 (0.11%)', '', 'DEATH', '']",ROCKVIEW,12/6/2020
23,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 510 (66.41%)NEGATIVE 510 (66.41%)65 (8.46%)POSITIVE 65 (8.46%)PENDING 158 (20.57%)PENDING 158 (20.57%)RECOVERED 34 (4.43%)RECOVERED 34 (4.43%)POSITIVEPOSITIVE 65 (8.46%)1 (0.13%)DEATH', '', '', '', '', '', '', 'NEGATIVE 510 (66.41%)NEGATIVE 510 (66.41%)', 'NEGATIVE 510 (66.41%)', '65 (8.46%)POSITIVE 65 (8.46%)', 'POSITIVE 65 (8.46%)', 'PENDING 158 (20.57%)PENDING 158 (20.57%)', 'PENDING 158 (20.57%)', 'RECOVERED 34 (4.43%)RECOVERED 34 (4.43%)', 'RECOVERED 34 (4.43%)', 'POSITIVEPOSITIVE 65 (8.46%)', 'POSITIVE 65 (8.46%)', '1 (0.13%)', '', 'DEATH', '']",SMITHFIELD,12/6/2020
24,"['', '', '', '', '', '', '', '', '642 (41.77%)NEGATIVE 642 (41.77%)POSITIVE 251 (16.33%)POSITIVE 251 (16.33%)PENDING 644 (41.9%)PENDING 644 (41.9%)NEGATIVENEGATIVE 642 (41.77%)', '', '', '', '', '642 (41.77%)NEGATIVE 642 (41.77%)', 'NEGATIVE 642 (41.77%)', 'POSITIVE 251 (16.33%)POSITIVE 251 (16.33%)', 'POSITIVE 251 (16.33%)', 'PENDING 644 (41.9%)PENDING 644 (41.9%)', 'PENDING 644 (41.9%)', 'NEGATIVENEGATIVE 642 (41.77%)', 'NEGATIVE 642 (41.77%)']",SOMERSET,12/6/2020
25,"['', '', '', '', '', '', '', '', 'NEGATIVE 499 (75.38%)NEGATIVE 499 (75.38%)76 (11.48%)POSITIVE 76 (11.48%)PENDING 87 (13.14%)PENDING 87 (13.14%)POSITIVEPOSITIVE 76 (11.48%)', '', '', '', '', 'NEGATIVE 499 (75.38%)NEGATIVE 499 (75.38%)', 'NEGATIVE 499 (75.38%)', '76 (11.48%)POSITIVE 76 (11.48%)', 'POSITIVE 76 (11.48%)', 'PENDING 87 (13.14%)PENDING 87 (13.14%)', 'PENDING 87 (13.14%)', 'POSITIVEPOSITIVE 76 (11.48%)', 'POSITIVE 76 (11.48%)']",WAYMART,12/6/2020
26,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 468 (73.01%)NEGATIVE 468 (73.01%)10 (1.5…)POSITIVE 10 (1.56%)PENDING 157 (24.49%)PENDING 157 (24.49%)POSITIVEPOSITIVE 10 (1.56%)RECOVERED 6 (0.94%)RECOVERED 6 (0.94%)', '', '', '', '', '', 'NEGATIVE 468 (73.01%)NEGATIVE 468 (73.01%)', 'NEGATIVE 468 (73.01%)', '10 (1.5…)POSITIVE 10 (1.56%)', 'POSITIVE 10 (1.56%)', 'PENDING 157 (24.49%)PENDING 157 (24.49%)', 'PENDING 157 (24.49%)', 'POSITIVEPOSITIVE 10 (1.56%)', 'POSITIVE 10 (1.56%)', 'RECOVERED 6 (0.94%)RECOVERED 6 (0.94%)', 'RECOVERED 6 (0.94%)']",ALBION,12/5/2020
27,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 389 (68.97%)NEGATIVE 389 (68.97%)56 (9.93…)POSITIVE 56 (9.93%)PENDING 111 (19.68%)PENDING 111 (19.68%)POSITIVEPOSITIVE 56 (9.93%)7 (1.24%)RECOVERED 7 (1.24%)1 (0.18%)RECOVEREDRECOVERED 7 (1.24%)DEATH', '', '', '', '', '', '', 'NEGATIVE 389 (68.97%)NEGATIVE 389 (68.97%)', 'NEGATIVE 389 (68.97%)', '56 (9.93…)POSITIVE 56 (9.93%)', 'POSITIVE 56 (9.93%)', 'PENDING 111 (19.68%)PENDING 111 (19.68%)', 'PENDING 111 (19.68%)', 'POSITIVEPOSITIVE 56 (9.93%)', 'POSITIVE 56 (9.93%)', '7 (1.24%)RECOVERED 7 (1.24%)', 'RECOVERED 7 (1.24%)', '1 (0.18%)', '', 'RECOVEREDRECOVERED 7 (1.24%)', 'RECOVERED 7 (1.24%)', 'DEATH', '']",BENNER TOWNSHIP,12/5/2020
28,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 556 (82.13%)NEGATIVE 556 (82.13%)28 (4.14%)POSITIVE 28 (4.14%)PENDING 89 (13.15%)PENDING 89 (13.15%)POSITIVEPOSITIVE 28 (4.14%)RECOVERED 4 (0.59%)RECOVERED 4 (0.59%)', '', '', '', '', '', 'NEGATIVE 556 (82.13%)NEGATIVE 556 (82.13%)', 'NEGATIVE 556 (82.13%)', '28 (4.14%)POSITIVE 28 (4.14%)', 'POSITIVE 28 (4.14%)', 'PENDING 89 (13.15%)PENDING 89 (13.15%)', 'PENDING 89 (13.15%)', 'POSITIVEPOSITIVE 28 (4.14%)', 'POSITIVE 28 (4.14%)', 'RECOVERED 4 (0.59%)RECOVERED 4 (0.59%)', 'RECOVERED 4 (0.59%)']",CAMBRIDGE SPRINGS,12/5/2020
29,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 4,383 (59.27%)NEGATIVE 4,383 (59.27%)POSITIVE 115 (1.56%)POSITIVE 115 (1.56%)PENDING 2,819 (38.12%)PENDING 2,819 (38.12%)RECOVERED 77 (1.04%)RECOVERED 77 (1.04%)1 (0.01%)DEATH', '', '', '', '', '', '', 'NEGATIVE 4,383 (59.27%)NEGATIVE 4,383 (59.27%)', 'NEGATIVE 4,383 (59.27%)', 'POSITIVE 115 (1.56%)POSITIVE 115 (1.56%)', 'POSITIVE 115 (1.56%)', 'PENDING 2,819 (38.12%)PENDING 2,819 (38.12%)', 'PENDING 2,819 (38.12%)', 'RECOVERED 77 (1.04%)RECOVERED 77 (1.04%)', 'RECOVERED 77 (1.04%)', '1 (0.01%)', '', 'DEATH', '']",CAMP HILL,12/5/2020
30,"['', '', '', '', '', '', '']",CENTRAL OFFICE,12/5/2020
