,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
22,Rockview,1,1,1,0,0,2021-02-04
23,Smithfield,89,87,6,6,1,2021-02-04
24,Somerset,0,0,4,6,0,2021-02-04
25,Waymart,176,158,7,24,0,2021-02-04
2,Albion,242,224,2,8,0,2021-03-09
3,Benner Township,4,2,6,4,0,2021-03-09
4,Cambridge Springs,0,0,1,3,0,2021-03-09
5,Camp Hill,337,331,4,33,1,2021-03-09
6,Chester,2,2,10,4,0,2021-03-09
7,Coal Township,6,5,1,14,0,2021-03-09
8,Dallas,0,0,9,6,0,2021-03-09
9,Fayette,16,15,3,3,1,2021-03-09
10,Forest,6,4,4,0,0,2021-03-09
11,Frackville,1,1,0,1,0,2021-03-09
12,Greene,3,3,1,3,0,2021-03-09
13,Houtzdale,2,2,2,4,1,2021-03-09
14,Huntingdon,129,126,8,6,0,2021-03-09
15,Laurel Highlands,1,1,11,1,0,2021-03-09
16,Mahanoy,5,1,4,5,0,2021-03-09
17,Mercer,88,81,4,1,0,2021-03-09
18,Muncy,5,5,1,2,0,2021-03-09
19,Phoenix,2,2,13,10,0,2021-03-09
20,Pine Grove,0,0,1,2,0,2021-03-09
21,Quehanna BC,1,1,0,0,0,2021-03-09
22,Rockview,3,2,1,0,0,2021-03-09
23,Smithfield,26,26,6,1,1,2021-03-09
24,Somerset,5,4,4,10,0,2021-03-09
25,Waymart,3,0,16,9,0,2021-03-09
2,Albion,86,42,2,13,0,2021-02-09
3,Benner Township,10,3,6,4,0,2021-02-09
4,Cambridge Springs,3,2,1,4,0,2021-02-09
5,Camp Hill,10,7,3,22,1,2021-02-09
6,Chester,2,1,10,6,0,2021-02-09
7,Coal Township,23,12,0,35,0,2021-02-09
8,Dallas,1,1,9,17,0,2021-02-09
9,Fayette,12,10,2,18,1,2021-02-09
10,Forest,15,7,4,3,0,2021-02-09
11,Frackville,5,4,0,5,0,2021-02-09
12,Greene,4,4,1,4,0,2021-02-09
13,Houtzdale,15,7,1,8,1,2021-02-09
14,Huntingdon,5,3,7,3,0,2021-02-09
15,Laurel Highlands,0,0,11,8,0,2021-02-09
16,Mahanoy,17,1,4,7,0,2021-02-09
17,Mercer,2,2,4,3,0,2021-02-09
18,Muncy,11,10,1,5,0,2021-02-09
19,Phoenix,10,7,12,21,0,2021-02-09
20,Pine Grove,2,2,1,3,0,2021-02-09
21,Quehanna BC,3,0,0,0,0,2021-02-09
22,Rockview,0,0,1,0,0,2021-02-09
23,Smithfield,89,87,6,4,1,2021-02-09
24,Somerset,0,0,4,7,0,2021-02-09
25,Waymart,87,68,11,18,0,2021-02-09
2,Albion,33,19,2,14,0,2021-02-24
3,Benner Township,7,6,6,3,0,2021-02-24
4,Cambridge Springs,0,0,1,2,0,2021-02-24
5,Camp Hill,28,16,3,29,1,2021-02-24
6,Chester,1,0,10,8,0,2021-02-24
7,Coal Township,150,148,0,16,0,2021-02-24
8,Dallas,0,0,9,8,0,2021-02-24
9,Fayette,17,15,2,8,1,2021-02-24
10,Forest,13,10,4,6,0,2021-02-24
11,Frackville,5,4,0,3,0,2021-02-24
12,Greene,2,2,1,4,0,2021-02-24
13,Houtzdale,2,2,2,6,1,2021-02-24
14,Huntingdon,5,3,7,3,0,2021-02-24
15,Laurel Highlands,0,0,11,2,0,2021-02-24
16,Mahanoy,6,1,4,6,0,2021-02-24
17,Mercer,1,1,4,3,0,2021-02-24
