date,SCI,incarcerated_person_positive
2021-09-30,Albion,0
2021-10-01,Albion,0
2021-10-03,Albion,0
2021-10-04,Albion,0
2021-10-05,Albion,0
2021-10-06,Albion,0
2021-10-07,Albion,0
2021-10-08,Albion,0
2021-10-09,Albion,0
2021-10-10,Albion,0
2021-10-11,Albion,1
2021-10-12,Albion,0
2021-10-13,Albion,0
2021-10-14,Albion,0
2021-10-15,Albion,0
2021-10-16,Albion,0
2021-10-18,Albion,0
2021-10-19,Albion,0
2021-10-20,Albion,0
2021-10-21,Albion,0
2021-10-22,Albion,0
2021-10-23,Albion,0
2021-10-25,Albion,0
2021-10-26,Albion,0
2021-10-27,Albion,0
2021-10-29,Albion,0
2021-10-30,Albion,0
2021-11-01,Albion,0
2021-11-02,Albion,0
2021-11-03,Albion,0
2021-11-04,Albion,0
2021-11-05,Albion,0
2021-11-06,Albion,0
2021-11-07,Albion,0
2021-11-08,Albion,0
2021-11-09,Albion,0
2021-11-10,Albion,0
2021-11-11,Albion,0
2021-11-12,Albion,0
2021-11-13,Albion,0
2021-11-14,Albion,0
2021-11-15,Albion,0
2021-11-16,Albion,0
2021-11-17,Albion,0
2021-11-18,Albion,0
2021-11-19,Albion,0
2021-11-20,Albion,0
2021-11-22,Albion,0
2021-11-23,Albion,0
2021-11-24,Albion,0
2021-11-25,Albion,0
2021-11-26,Albion,33
2021-11-27,Albion,0
2021-11-28,Albion,1
2021-11-29,Albion,3
2021-11-30,Albion,31
2021-12-01,Albion,4
2021-12-02,Albion,3
2021-12-03,Albion,1
2021-12-04,Albion,5
2021-12-05,Albion,3
2021-12-06,Albion,0
2021-12-07,Albion,0
2021-12-08,Albion,0
2021-12-09,Albion,1
2021-12-10,Albion,0
2021-12-11,Albion,0
2021-12-12,Albion,0
2021-12-13,Albion,0
2021-12-14,Albion,1
2021-12-15,Albion,0
2021-12-16,Albion,0
2021-12-17,Albion,0
2021-12-18,Albion,0
2021-12-20,Albion,0
2021-12-21,Albion,0
2021-12-22,Albion,0
2021-12-23,Albion,0
2021-12-24,Albion,0
2021-12-27,Albion,0
2021-12-28,Albion,0
2021-12-29,Albion,1
2021-12-30,Albion,0
2021-12-31,Albion,0
2022-01-01,Albion,0
2022-01-02,Albion,0
2022-01-03,Albion,0
2022-01-04,Albion,0
2022-01-05,Albion,0
2022-01-06,Albion,0
2022-01-07,Albion,0
2022-01-08,Albion,2
2022-01-09,Albion,0
2022-01-10,Albion,2
2022-01-11,Albion,1
2022-01-12,Albion,3
2022-01-13,Albion,1
2022-01-14,Albion,8
2022-01-15,Albion,3
2022-01-16,Albion,2
2022-01-17,Albion,2
2022-01-18,Albion,2
2022-01-19,Albion,4
2022-01-20,Albion,0
2022-01-21,Albion,0
2022-01-22,Albion,5
2022-01-23,Albion,0
2022-01-24,Albion,1
2022-01-25,Albion,2
2022-01-26,Albion,0
2022-01-27,Albion,3
2022-01-28,Albion,0
2022-01-29,Albion,0
2022-01-31,Albion,0
2020-03-28,Benner,0
2020-03-31,Benner,0
2020-04-03,Benner,0
2020-04-04,Benner,0
2020-04-07,Benner,0
2020-04-08,Benner,0
2020-04-09,Benner,0
2020-04-11,Benner,0
2020-04-14,Benner,0
2020-04-15,Benner,0
2020-04-16,Benner,0
2020-04-17,Benner,0
2020-04-18,Benner,0
2020-04-21,Benner,0
2020-04-23,Benner,0
2020-04-24,Benner,0
2020-04-25,Benner,0
2020-04-28,Benner,0
2020-04-29,Benner,0
2020-04-30,Benner,0
2020-05-01,Benner,0
2020-05-02,Benner,0
2020-05-04,Benner,0
2020-05-05,Benner,0
2020-05-06,Benner,0
2020-05-07,Benner,0
2020-05-08,Benner,0
2020-05-11,Benner,0
2020-05-12,Benner,0
2020-05-13,Benner,0
2020-05-14,Benner,0
2020-05-15,Benner,1
2020-05-16,Benner,0
2020-05-19,Benner,0
2020-05-20,Benner,0
2020-05-21,Benner,0
2020-05-22,Benner,0
2020-05-23,Benner,0
2020-05-25,Benner,0
2020-05-27,Benner,0
2020-05-29,Benner,0
2020-05-30,Benner,0
2020-06-02,Benner,0
2020-06-03,Benner,0
2020-06-06,Benner,0
2020-06-10,Benner,0
2020-06-12,Benner,0
2020-06-16,Benner,0
2020-06-22,Benner,0
2020-06-25,Benner,0
2020-06-26,Benner,0
2020-06-30,Benner,0
2020-07-01,Benner,0
2020-07-02,Benner,0
2020-07-03,Benner,0
2020-07-08,Benner,0
2020-07-09,Benner,0
2020-07-10,Benner,0
2020-07-11,Benner,0
2020-07-14,Benner,0
2020-07-17,Benner,0
2020-07-23,Benner,0
2020-07-24,Benner,0
2020-07-25,Benner,0
2020-07-29,Benner,0
2020-07-30,Benner,0
2020-08-06,Benner,0
2020-08-07,Benner,0
2020-08-09,Benner,0
2020-08-11,Benner,0
2020-08-14,Benner,0
2020-08-15,Benner,0
2020-08-18,Benner,0
2020-08-19,Benner,0
2020-08-20,Benner,0
2020-08-21,Benner,0
2020-08-25,Benner,0
2020-08-26,Benner,0
2020-08-27,Benner,0
2020-08-28,Benner,0
2020-08-29,Benner,0
2020-08-31,Benner,0
2020-09-01,Benner,0
2020-09-02,Benner,0
2020-09-03,Benner,0
2020-09-04,Benner,0
2020-09-05,Benner,0
2020-09-08,Benner,0
2020-09-09,Benner,0
2020-09-11,Benner,0
2020-09-15,Benner,0
2020-09-16,Benner,0
2020-09-18,Benner,0
2020-09-19,Benner,0
2020-09-23,Benner,0
2020-09-24,Benner,0
2020-09-25,Benner,0
2020-09-26,Benner,0
2020-09-28,Benner,0
2020-09-29,Benner,0
2020-09-30,Benner,0
2020-10-01,Benner,0
2020-10-02,Benner,0
2020-10-03,Benner,0
2020-10-06,Benner,0
2020-10-07,Benner,0
2020-10-08,Benner,0
2020-10-09,Benner,0
2020-10-10,Benner,0
2020-10-11,Benner,0
2020-10-13,Benner,0
2020-10-14,Benner,0
2020-10-15,Benner,0
2020-10-16,Benner,0
2020-10-17,Benner,0
2020-10-19,Benner,0
2020-10-20,Benner,0
2020-10-21,Benner,0
2020-10-22,Benner,0
2020-10-23,Benner,0
2020-10-24,Benner,0
2020-10-25,Benner,0
2020-10-26,Benner,0
2020-10-27,Benner,0
2020-10-28,Benner,0
2020-10-29,Benner,0
2020-10-30,Benner,0
2020-10-31,Benner,0
2020-11-01,Benner,0
2020-11-02,Benner,0
2020-11-03,Benner,0
2020-11-04,Benner,0
2020-11-05,Benner,0
2020-11-06,Benner,0
2020-11-07,Benner,0
2020-11-08,Benner,0
2020-11-09,Benner,0
2020-11-10,Benner,2
2020-11-11,Benner,1
2020-11-12,Benner,3
2020-11-13,Benner,2
2020-11-14,Benner,8
2020-11-15,Benner,0
2020-11-16,Benner,0
2020-11-17,Benner,5
2020-11-18,Benner,0
2020-11-19,Benner,3
2020-11-20,Benner,1
2020-11-21,Benner,0
