,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
3908,Forest,2328.0,5.0,2323.0,0.0,43.0,0.0,2020-05-01
3909,Fayette,1938.0,3.0,1935.0,-3.0,-18.0,-3.0,2020-05-01
3910,Greene,1757.0,3.0,1754.0,-3.0,-3.0,-3.0,2020-05-01
3911,Houtzdale,2457.0,3.0,2454.0,0.0,-13.0,0.0,2020-05-01
3912,Huntingdon,1983.0,1.0,1982.0,0.0,-10.0,0.0,2020-05-01
3913,Laurel Highlands,1363.0,12.0,1351.0,-2.0,-10.0,-2.0,2020-05-01
3914,Mahanoy,2294.0,3.0,2291.0,-3.0,-15.0,-3.0,2020-05-01
3915,Mercer,1326.0,3.0,1323.0,0.0,25.0,0.0,2020-05-01
3916,Muncy,1306.0,9.0,1297.0,1.0,-12.0,1.0,2020-05-01
3917,Phoenix,2998.0,8.0,2990.0,-33.0,-56.0,-33.0,2020-05-01
3918,Pine Grove,1024.0,2.0,1022.0,-2.0,13.0,-2.0,2020-05-01
3919,Quehanna,303.0,0.0,303.0,0.0,-15.0,0.0,2020-05-01
3920,Retreat,391.0,0.0,391.0,33.0,67.0,33.0,2020-05-01
3921,Rockview,2099.0,4.0,2095.0,-41.0,-209.0,-41.0,2020-05-01
3922,Smithfield,1265.0,3.0,1262.0,-3.0,-12.0,-3.0,2020-05-01
3923,Somerset,2303.0,0.0,2303.0,-2.0,-10.0,-2.0,2020-05-01
3924,Waymart,1311.0,10.0,1301.0,-5.0,-14.0,-5.0,2020-05-01
3925,SCI TOTAL,43249.0,111.0,43138.0,-82.0,-283.0,-82.0,2020-05-01
3926,CCC/F East,1025.0,0.0,1025.0,0.0,-3.0,0.0,2020-05-01
3927,CCC/F Central,1218.0,0.0,1218.0,25.0,-2.0,25.0,2020-05-01
3928,CCC/F West,744.0,0.0,744.0,10.0,-100.0,10.0,2020-05-01
3929,CCC/F TOTAL,2987.0,0.0,2987.0,35.0,-105.0,35.0,2020-05-01
3930,Albion,2201.0,4.0,2197.0,-3.0,-9.0,-40.0,2020-05-14
3931,Benner,2025.0,4.0,2021.0,-3.0,-6.0,-19.0,2020-05-14
3932,Camp Hill,2869.0,10.0,2859.0,-11.0,-82.0,-126.0,2020-05-14
3933,Cambridge Springs,1086.0,18.0,1068.0,-9.0,-13.0,-46.0,2020-05-14
3934,Chester,981.0,3.0,978.0,-1.0,-7.0,-28.0,2020-05-14
3935,Coal Township,2059.0,4.0,2055.0,-3.0,-5.0,-26.0,2020-05-14
3936,Dallas,2124.0,3.0,2121.0,-1.0,-9.0,-29.0,2020-05-14
3937,Frackville,1176.0,4.0,1172.0,-4.0,-8.0,5.0,2020-05-14
3938,Forest,2319.0,7.0,2312.0,-2.0,-4.0,-11.0,2020-05-14
3939,Fayette,1902.0,4.0,1898.0,-3.0,-13.0,-40.0,2020-05-14
3940,Greene,1745.0,4.0,1741.0,0.0,-2.0,-16.0,2020-05-14
3941,Houtzdale,2419.0,4.0,2415.0,-7.0,-12.0,-39.0,2020-05-14
3942,Huntingdon,1941.0,1.0,1940.0,-1.0,-10.0,-42.0,2020-05-14
3943,Laurel Highlands,1327.0,13.0,1314.0,-1.0,-18.0,-39.0,2020-05-14
3944,Mahanoy,2267.0,5.0,2262.0,-2.0,-7.0,-32.0,2020-05-14
3945,Mercer,1308.0,3.0,1305.0,-6.0,-10.0,-18.0,2020-05-14
3946,Muncy,1272.0,10.0,1262.0,-5.0,-7.0,-34.0,2020-05-14
3947,Phoenix,2960.0,9.0,2951.0,-9.0,-18.0,-72.0,2020-05-14
3948,Pine Grove,1015.0,4.0,1011.0,-7.0,-8.0,-13.0,2020-05-14
3949,Quehanna,392.0,0.0,392.0,-8.0,65.0,89.0,2020-05-14
3950,Retreat,562.0,0.0,562.0,15.0,69.0,204.0,2020-05-14
3951,Rockview,2046.0,4.0,2042.0,-3.0,-10.0,-94.0,2020-05-14
3952,Smithfield,1257.0,4.0,1253.0,-1.0,-3.0,-12.0,2020-05-14
3953,Somerset,2282.0,0.0,2282.0,-10.0,-13.0,-23.0,2020-05-14
3954,Waymart,1272.0,11.0,1261.0,-4.0,-9.0,-45.0,2020-05-14
3955,SCI TOTAL,42807.0,133.0,42674.0,-89.0,-149.0,-546.0,2020-05-14
3956,CCC/F East,1041.0,0.0,1041.0,3.0,-16.0,16.0,2020-05-14
3957,CCC/F Central,1148.0,0.0,1148.0,-4.0,-19.0,-45.0,2020-05-14
3958,CCC/F West,732.0,0.0,732.0,9.0,-26.0,-2.0,2020-05-14
3959,CCC/F TOTAL,2921.0,0.0,2921.0,8.0,-61.0,-31.0,2020-05-14
3960,Albion,2187.0,4.0,2183.0,-5.0,0.0,-54.0,2020-05-28
3961,Benner,2013.0,4.0,2009.0,-3.0,-5.0,-31.0,2020-05-28
3962,Camp Hill,2823.0,10.0,2813.0,-78.0,-125.0,-172.0,2020-05-28
3963,Cambridge Springs,1059.0,18.0,1041.0,-3.0,-10.0,-73.0,2020-05-28
3964,Chester,932.0,3.0,929.0,-4.0,-14.0,-77.0,2020-05-28
3965,Coal Township,2047.0,4.0,2043.0,14.0,7.0,-38.0,2020-05-28
3966,Dallas,2101.0,3.0,2098.0,-4.0,-7.0,-52.0,2020-05-28
3967,Frackville,1180.0,4.0,1176.0,-6.0,17.0,9.0,2020-05-28
3968,Forest,2323.0,7.0,2316.0,-3.0,16.0,-7.0,2020-05-28
3969,Fayette,1866.0,4.0,1862.0,-9.0,-19.0,-76.0,2020-05-28
3970,Greene,1736.0,4.0,1732.0,-1.0,-3.0,-25.0,2020-05-28
3971,Houtzdale,2404.0,4.0,2400.0,-3.0,-6.0,-54.0,2020-05-28
3972,Huntingdon,1891.0,1.0,1890.0,-1.0,-5.0,-92.0,2020-05-28
3973,Laurel Highlands,1305.0,15.0,1290.0,-6.0,-9.0,-63.0,2020-05-28
3974,Mahanoy,2260.0,5.0,2255.0,11.0,7.0,-39.0,2020-05-28
3975,Mercer,1284.0,3.0,1281.0,-5.0,-6.0,-42.0,2020-05-28
3976,Muncy,1242.0,11.0,1231.0,-13.0,-20.0,-65.0,2020-05-28
3977,Phoenix,2952.0,9.0,2943.0,-9.0,-12.0,-80.0,2020-05-28
3978,Pine Grove,1009.0,4.0,1005.0,10.0,8.0,-19.0,2020-05-28
3979,Quehanna,402.0,0.0,402.0,-8.0,-11.0,99.0,2020-05-28
3980,Retreat,570.0,0.0,570.0,40.0,39.0,212.0,2020-05-28
3981,Rockview,2034.0,7.0,2027.0,-6.0,-5.0,-109.0,2020-05-28
3982,Smithfield,1262.0,5.0,1257.0,15.0,14.0,-8.0,2020-05-28
3983,Somerset,2264.0,0.0,2264.0,-1.0,-5.0,-41.0,2020-05-28
3984,Waymart,1239.0,11.0,1228.0,-3.0,-9.0,-78.0,2020-05-28
3985,SCI TOTAL,42385.0,140.0,42245.0,-81.0,-163.0,-975.0,2020-05-28
3986,CCC/F East,1004.0,0.0,1004.0,-27.0,-27.0,-21.0,2020-05-28
3987,CCC/F Central,1108.0,0.0,1108.0,-56.0,-56.0,-85.0,2020-05-28
3988,CCC/F West,722.0,0.0,722.0,-14.0,-14.0,-12.0,2020-05-28
3989,CCC/F TOTAL,2834.0,0.0,2834.0,-97.0,-97.0,-118.0,2020-05-28
3990,Albion,2210.0,4.0,2206.0,0.0,0.0,-27.0,2020-09-28
3991,Benner,2003.0,3.0,2000.0,1.0,1.0,-8.0,2020-09-28
3992,Camp Hill,2248.0,7.0,2241.0,-1.0,-1.0,72.0,2020-09-28
3993,Cambridge Springs,981.0,19.0,962.0,-4.0,-4.0,-10.0,2020-09-28
3994,Chester,978.0,2.0,976.0,0.0,0.0,-26.0,2020-09-28
3995,Coal Township,2191.0,4.0,2187.0,17.0,17.0,-79.0,2020-09-28
3996,Dallas,2104.0,2.0,2102.0,-4.0,-4.0,-21.0,2020-09-28
3997,Frackville,1034.0,3.0,1031.0,0.0,0.0,-22.0,2020-09-28
3998,Forest,2348.0,5.0,2343.0,2.0,2.0,-29.0,2020-09-28
3999,Fayette,1967.0,3.0,1964.0,-1.0,-1.0,-20.0,2020-09-28
4000,Greene,1682.0,3.0,1679.0,3.0,3.0,-18.0,2020-09-28
4001,Houtzdale,2440.0,2.0,2438.0,-2.0,-2.0,-10.0,2020-09-28
4002,Huntingdon,1754.0,1.0,1753.0,-6.0,-6.0,-41.0,2020-09-28
4003,Laurel Highlands,899.0,13.0,886.0,-11.0,-11.0,-42.0,2020-09-28
4004,Mahanoy,2317.0,5.0,2312.0,-5.0,-5.0,-5.0,2020-09-28
4005,Mercer,1274.0,3.0,1271.0,-4.0,-4.0,-69.0,2020-09-28
4006,Muncy,1077.0,11.0,1066.0,-2.0,-2.0,-24.0,2020-09-28
4007,Phoenix,2781.0,9.0,2772.0,-8.0,-8.0,-45.0,2020-09-28
4008,Pine Grove,1029.0,3.0,1026.0,0.0,0.0,-4.0,2020-09-28
4009,Quehanna,410.0,0.0,410.0,-6.0,-6.0,-50.0,2020-09-28
4010,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-28
4011,Rockview,1643.0,5.0,1638.0,-1.0,-1.0,-74.0,2020-09-28
4012,Smithfield,1391.0,4.0,1387.0,0.0,0.0,9.0,2020-09-28
4013,Somerset,2259.0,0.0,2259.0,-5.0,-5.0,-17.0,2020-09-28
4014,Waymart,1049.0,9.0,1040.0,1.0,1.0,-33.0,2020-09-28
4015,SCI TOTAL,40069.0,120.0,39949.0,-36.0,-36.0,-593.0,2020-09-28
4016,CCC/F East,629.0,0.0,629.0,0.0,0.0,-35.0,2020-09-28
4017,CCC/F Central,883.0,0.0,883.0,0.0,0.0,-13.0,2020-09-28
4018,CCC/F West,751.0,0.0,751.0,0.0,0.0,85.0,2020-09-28
4019,CCC/F TOTAL,2263.0,0.0,2263.0,0.0,0.0,37.0,2020-09-28
4020,Albion,2191.0,4.0,2187.0,0.0,-1.0,-11.0,2020-07-05
4021,Benner,2055.0,3.0,2052.0,-1.0,-1.0,8.0,2020-07-05
4022,Camp Hill,2009.0,9.0,2000.0,-44.0,-47.0,-93.0,2020-07-05
4023,Cambridge Springs,1043.0,19.0,1024.0,9.0,7.0,0.0,2020-07-05
4024,Chester,981.0,3.0,978.0,-6.0,-6.0,39.0,2020-07-05
4025,Coal Township,2132.0,4.0,2128.0,10.0,3.0,14.0,2020-07-05
4026,Dallas,2100.0,3.0,2097.0,-1.0,-1.0,-41.0,2020-07-05
4027,Frackville,1210.0,4.0,1206.0,-7.0,-8.0,-10.0,2020-07-05
4028,Forest,2395.0,8.0,2387.0,0.0,-5.0,4.0,2020-07-05
4029,Fayette,2006.0,4.0,2002.0,0.0,-4.0,-7.0,2020-07-05
4030,Greene,1749.0,3.0,1746.0,1.0,-2.0,7.0,2020-07-05
4031,Houtzdale,2450.0,3.0,2447.0,3.0,1.0,-2.0,2020-07-05
4032,Huntingdon,1867.0,1.0,1866.0,-1.0,-2.0,-5.0,2020-07-05
4033,Laurel Highlands,1226.0,18.0,1208.0,-1.0,-5.0,-8.0,2020-07-05
4034,Mahanoy,2340.0,5.0,2335.0,-2.0,-2.0,-16.0,2020-07-05
4035,Mercer,1353.0,3.0,1350.0,-1.0,-7.0,5.0,2020-07-05
4036,Muncy,1121.0,11.0,1110.0,-2.0,-11.0,-11.0,2020-07-05
4037,Phoenix,2857.0,9.0,2848.0,-2.0,-11.0,-24.0,2020-07-05
4038,Pine Grove,1050.0,4.0,1046.0,-1.0,-4.0,12.0,2020-07-05
4039,Quehanna,480.0,0.0,480.0,20.0,20.0,31.0,2020-07-05
4040,Retreat,0.0,0.0,0.0,0.0,0.0,-10.0,2020-07-05
4041,Rockview,1979.0,8.0,1971.0,-1.0,-2.0,-6.0,2020-07-05
4042,Smithfield,1404.0,5.0,1399.0,33.0,31.0,41.0,2020-07-05
4043,Somerset,2303.0,0.0,2303.0,-1.0,-4.0,-2.0,2020-07-05
4044,Waymart,1165.0,11.0,1154.0,-3.0,-4.0,-18.0,2020-07-05
4045,SCI TOTAL,41466.0,142.0,41324.0,2.0,-65.0,-103.0,2020-07-05
4046,CCC/F East,864.0,0.0,864.0,-17.0,-17.0,-24.0,2020-07-05
4047,CCC/F Central,934.0,0.0,934.0,-18.0,-18.0,-28.0,2020-07-05
4048,CCC/F West,620.0,0.0,620.0,-3.0,-3.0,-19.0,2020-07-05
4049,CCC/F TOTAL,2418.0,0.0,2418.0,-38.0,-38.0,-71.0,2020-07-05
4050,Albion,2184.0,4.0,2180.0,-7.0,-8.0,-18.0,2020-07-11
4051,Benner,2047.0,3.0,2044.0,-8.0,-9.0,0.0,2020-07-11
4052,Camp Hill,1939.0,9.0,1930.0,-70.0,-117.0,-163.0,2020-07-11
4053,Cambridge Springs,1043.0,19.0,1024.0,0.0,7.0,0.0,2020-07-11
4054,Chester,985.0,3.0,982.0,4.0,-2.0,43.0,2020-07-11
4055,Coal Township,2139.0,4.0,2135.0,7.0,10.0,21.0,2020-07-11
4056,Dallas,2099.0,3.0,2096.0,-1.0,-2.0,-42.0,2020-07-11
4057,Frackville,1205.0,4.0,1201.0,-5.0,-13.0,-15.0,2020-07-11
4058,Forest,2395.0,8.0,2387.0,0.0,-5.0,4.0,2020-07-11
4059,Fayette,2017.0,4.0,2013.0,11.0,7.0,4.0,2020-07-11
4060,Greene,1752.0,3.0,1749.0,3.0,1.0,10.0,2020-07-11
4061,Houtzdale,2450.0,3.0,2447.0,0.0,1.0,-2.0,2020-07-11
4062,Huntingdon,1863.0,1.0,1862.0,-4.0,-6.0,-9.0,2020-07-11
4063,Laurel Highlands,1226.0,18.0,1208.0,0.0,-5.0,-8.0,2020-07-11
4064,Mahanoy,2334.0,5.0,2329.0,-6.0,-8.0,-22.0,2020-07-11
4065,Mercer,1376.0,3.0,1373.0,23.0,16.0,28.0,2020-07-11
4066,Muncy,1121.0,11.0,1110.0,0.0,-11.0,-11.0,2020-07-11
4067,Phoenix,2851.0,9.0,2842.0,-6.0,-17.0,-30.0,2020-07-11
4068,Pine Grove,1070.0,4.0,1066.0,20.0,16.0,32.0,2020-07-11
4069,Quehanna,478.0,0.0,478.0,-2.0,18.0,29.0,2020-07-11
4070,Retreat,0.0,0.0,0.0,0.0,0.0,-10.0,2020-07-11
4071,Rockview,1976.0,8.0,1968.0,-3.0,-5.0,-9.0,2020-07-11
4072,Smithfield,1403.0,5.0,1398.0,-1.0,30.0,40.0,2020-07-11
4073,Somerset,2302.0,0.0,2302.0,-1.0,-5.0,-3.0,2020-07-11
4074,Waymart,1162.0,11.0,1151.0,-3.0,-7.0,-21.0,2020-07-11
4075,SCI TOTAL,41417.0,142.0,41275.0,-49.0,-114.0,-152.0,2020-07-11
4076,CCC/F East,864.0,0.0,864.0,0.0,-17.0,-24.0,2020-07-11
4077,CCC/F Central,934.0,0.0,934.0,0.0,-18.0,-28.0,2020-07-11
4078,CCC/F West,620.0,0.0,620.0,0.0,-3.0,-19.0,2020-07-11
4079,CCC/F TOTAL,2418.0,0.0,2418.0,0.0,-38.0,-71.0,2020-07-11
4080,Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-09-14
4081,Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-09-14
4082,Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-09-14
4083,Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-09-14
4084,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-09-14
4085,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-09-14
4086,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-09-14
4087,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-09-14
4088,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-09-14
4089,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-09-14
4090,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-09-14
4091,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-09-14
4092,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-09-14
4093,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-09-14
4094,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-09-14
4095,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-09-14
4096,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-09-14
4097,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-09-14
4098,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-09-14
4099,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-09-14
4100,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-14
4101,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-09-14
4102,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-09-14
4103,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-09-14
4104,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-09-14
4105,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-09-14
4106,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-09-14
4107,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-09-14
4108,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-09-14
4109,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-09-14
4110,Albion,2209.0,4.0,2205.0,-2.0,3.0,2.0,2020-10-09
4111,Benner,1983.0,3.0,1980.0,-2.0,-7.0,-8.0,2020-10-09
4112,Camp Hill,2207.0,7.0,2200.0,-3.0,-20.0,-31.0,2020-10-09
4113,Cambridge Springs,964.0,18.0,946.0,-4.0,-10.0,-18.0,2020-10-09
4114,Chester,960.0,2.0,958.0,0.0,0.0,-10.0,2020-10-09
4115,Coal Township,2197.0,4.0,2193.0,12.0,-2.0,10.0,2020-10-09
4116,Dallas,2101.0,2.0,2099.0,-4.0,-13.0,-9.0,2020-10-09
4117,Frackville,1033.0,3.0,1030.0,0.0,-4.0,-5.0,2020-10-09
4118,Forest,2338.0,5.0,2333.0,-1.0,-7.0,-9.0,2020-10-09
4119,Fayette,1952.0,3.0,1949.0,-2.0,-9.0,-25.0,2020-10-09
4120,Greene,1690.0,3.0,1687.0,5.0,23.0,19.0,2020-10-09
4121,Houtzdale,2433.0,2.0,2431.0,1.0,-1.0,-6.0,2020-10-09
4122,Huntingdon,1813.0,1.0,1812.0,0.0,48.0,74.0,2020-10-09
4123,Laurel Highlands,879.0,13.0,866.0,0.0,-12.0,-19.0,2020-10-09
4124,Mahanoy,2301.0,5.0,2296.0,0.0,-10.0,-10.0,2020-10-09
4125,Mercer,1250.0,3.0,1247.0,0.0,-13.0,-22.0,2020-10-09
4126,Muncy,1089.0,11.0,1078.0,9.0,12.0,21.0,2020-10-09
4127,Phoenix,2787.0,9.0,2778.0,-9.0,9.0,-34.0,2020-10-09
4128,Pine Grove,1012.0,3.0,1009.0,-2.0,-6.0,-12.0,2020-10-09
4129,Quehanna,353.0,0.0,353.0,0.0,-66.0,-63.0,2020-10-09
4130,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-09
4131,Rockview,1611.0,5.0,1606.0,-1.0,-15.0,-28.0,2020-10-09
4132,Smithfield,1364.0,4.0,1360.0,-3.0,-10.0,-13.0,2020-10-09
4133,Somerset,2248.0,0.0,2248.0,-3.0,-16.0,-11.0,2020-10-09
4134,Waymart,1035.0,8.0,1027.0,0.0,-9.0,-10.0,2020-10-09
4135,SCI TOTAL,39809.0,118.0,39691.0,-9.0,-135.0,-217.0,2020-10-09
4136,CCC/F East,620.0,0.0,620.0,19.0,8.0,8.0,2020-10-09
4137,CCC/F Central,861.0,0.0,861.0,15.0,-19.0,-19.0,2020-10-09
4138,CCC/F West,810.0,0.0,810.0,29.0,72.0,72.0,2020-10-09
4139,CCC/F TOTAL,2291.0,0.0,2291.0,63.0,61.0,61.0,2020-10-09
4140,Albion,2196.0,4.0,2192.0,-3.0,-7.0,-11.0,2020-10-21
4141,Benner,1971.0,3.0,1968.0,1.0,-3.0,-20.0,2020-10-21
4142,Camp Hill,2022.0,7.0,2015.0,57.0,83.0,-216.0,2020-10-21
