County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Armstrong,11/14/2020,1,0.6,35,64735,1.54,0.88,54.07,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Perry,11/14/2020,0,0,8,46272,0,0,17.29,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mercer,09/18/2020,0,0.4,19,109424,0,0.39,17.36,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Dauphin,06/29/2020,0,0.6,144,278299,0,0.21,51.74,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
McKean,04/10/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Tioga,03/22/2020,0,,0,40591,0,,0,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Cambria,04/05/2020,1,0.1,1,130192,0.77,0.11,0.77,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Westmoreland,07/11/2020,0,0,40,348899,0,0,11.46,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Cameron,11/25/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Clinton,03/21/2020,0,,0,38632,0,,0,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Centre,08/02/2020,0,0,10,162385,0,0,6.16,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Wyoming,11/10/2020,0,0.6,15,26794,0,2.13,55.98,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Venango,09/06/2020,0,0,1,50668,0,0,1.97,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Butler,09/17/2020,0,0,22,187853,0,0,11.71,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
